Old,New
African_music,Music_of_Africa
Automobile,Car
Bill_of_Rights_(South_Africa),Chapter_Two_of_the_Constitution_of_South_Africa
Decanting,Decantation
Hottentot_Venus,Saartjie_Baartman
Khoikhoi_mythology,null
Mapungubwe,Kingdom_of_Mapungubwe
null,Gas
null,Gender_role
null,Kaditshwene
null,Makhonjwa_Mountains
null,Mind_map
Reconciliation_Day,Day_of_Reconciliation
Republic_of_South_Africa,South_Africa
San_languages,Khoisan_languages
Sieving,Sieve
2_ft_gauge_railways_in_South_Africa,Two-foot-gauge_railways_in_South_Africa
Animal-powered_transport,Outline_of_animal-powered_transport
Gana_and_Gwi_people,null(it is San_people)
Gender_stereotypes,null(it is a paragraph of Gender_role)
Herero_and_Namaqua_Genocide,Herero_and_Namaqua_genocide
Mapungubwe_Museum,Mapungubwe_Collection
Processed_food,null(it is Convenience_food)
Saartjie_Baartman,Sarah_Baartman